gender,hs_gpa,year,field,gpa,campus,money,aid,study,freq,drinks,classes,mods,relation,approval,family
0,68.0,1,2,55.0,1,0,1,2,0,0,0,1,0,0,3
1,72.0,1,2,58.0,1,2,0,1,3,4,2,0,0,1,3
1,84.0,1,8,92.0,0,1,0,2,-1,4,0,0,1,1,3
1,70.0,3,2,53.0,1,0,0,2,1,4,4,4,1,1,3
1,82.0,3,2,77.0,0,1,1,4,0,0,0,0,0,1,0
0,70.0,1,2,70.0,1,0,0,1,-1,1,1,0,1,1,3
0,78.0,2,2,57.0,1,4,0,3,3,3,0,4,0,1,3
0,95.0,2,4,87.6,1,4,0,4,-1,1,0,0,0,1,3
0,75.0,1,2,60.0,1,0,1,2,-1,1,0,0,1,0,0
0,80.0,4,2,55.0,1,1,0,2,1,1,1,4,0,1,3
1,86.0,1,8,73.0,0,3,0,4,2,2,4,0,0,1,3
1,84.0,1,8,76.0,1,3,0,4,1,2,2,0,0,1,3
0,82.0,2,1,68.0,1,0,0,2,1,4,1,3,0,1,3
1,73.0,2,2,57.0,1,0,1,4,1,1,1,3,0,0,0
0,75.0,1,0,63.0,1,1,0,4,2,1,2,0,1,1,0
1,74.0,1,2,64.0,1,0,1,3,1,4,1,0,0,1,3
1,68.0,1,2,55.0,0,0,0,1,3,4,4,1,0,0,3
1,78.0,1,8,76.0,1,2,0,1,3,2,4,0,0,0,3
1,77.0,1,2,65.0,1,1,0,3,1,4,2,0,0,1,0
0,79.0,1,2,71.0,1,4,0,4,2,3,0,0,1,0,2
1,78.0,1,2,73.0,1,2,0,3,3,4,2,2,0,1,2
1,86.4,1,4,57.0,0,0,0,1,2,4,2,0,1,1,3
1,82.0,5,4,62.0,1,3,0,4,1,4,0,1,1,1,3
1,60.0,1,2,75.0,1,0,0,1,1,3,0,0,1,1,3
1,84.0,1,8,69.0,1,1,1,3,2,2,0,0,0,1,3
1,75.0,1,2,65.0,1,1,0,2,4,3,4,0,1,1,0
1,81.0,2,2,64.0,1,2,0,4,1,4,2,3,1,1,3
0,85.0,2,8,76.0,1,2,0,4,1,1,1,2,0,1,3
1,95.5,5,4,65.0,1,0,1,4,3,4,0,0,1,1,2
1,76.0,1,8,60.0,1,1,0,1,1,4,1,1,0,1,0
1,72.0,3,5,68.0,1,4,0,4,3,3,0,0,1,1,0
1,76.0,2,2,64.0,1,4,0,4,3,3,2,1,1,1,0
0,71.0,1,3,67.0,1,0,1,3,2,3,3,1,0,1,3
0,72.0,1,0,77.0,1,0,0,2,1,2,0,0,1,1,3
0,78.0,2,1,83.0,1,3,0,4,-1,2,0,0,0,1,3
0,87.0,2,8,61.0,1,1,0,4,3,1,0,1,1,1,3
0,76.0,1,2,65.0,1,1,0,3,-1,1,0,0,0,1,3
1,76.0,2,2,65.0,1,0,0,2,3,3,0,2,0,1,3
0,94.0,2,2,67.0,0,0,0,4,-1,1,0,1,0,1,3
0,78.0,1,4,58.0,1,2,0,3,2,2,2,0,0,1,3
0,84.0,2,2,61.0,1,1,0,1,2,3,3,0,1,1,0
0,79.0,2,2,77.0,1,1,0,1,1,1,0,0,1,1,0
1,80.0,2,8,57.0,1,0,0,2,1,3,1,1,0,1,0
1,67.0,1,2,30.0,1,0,0,1,4,4,4,4,0,1,3
0,76.0,1,2,80.0,1,0,0,1,2,4,1,4,0,1,3
1,72.0,1,2,65.0,1,2,0,3,1,4,0,0,1,1,2
1,73.0,1,1,70.0,1,3,0,2,2,3,1,0,0,1,3
1,78.0,1,2,83.0,1,0,0,1,3,4,2,0,1,1,3
1,82.0,1,4,73.0,1,1,0,4,2,2,0,0,0,1,3
0,75.0,1,2,89.0,1,2,0,3,0,2,0,0,1,1,3
1,67.0,2,2,81.0,1,1,0,4,3,3,1,1,0,1,3
0,78.0,2,2,71.0,1,0,0,3,2,2,2,0,0,1,2
0,79.0,1,2,76.0,1,1,0,1,2,2,0,0,1,1,3
0,89.0,2,2,80.0,1,4,0,2,3,2,1,0,1,1,3
1,73.0,2,6,62.0,1,0,0,2,1,3,1,0,0,1,0
1,85.0,2,2,58.0,0,0,0,4,1,4,2,1,0,1,0
1,72.0,1,2,76.0,1,2,0,0,1,2,0,4,0,1,2
0,83.0,2,1,72.0,1,2,0,1,1,3,2,0,0,1,3
1,83.0,2,2,55.0,0,0,0,2,2,2,2,2,1,1,3
0,78.0,2,2,70.0,1,3,1,1,1,2,1,1,1,1,0
1,66.0,3,0,61.0,1,1,0,1,2,4,1,2,0,1,3
0,90.0,3,2,73.0,1,1,0,4,1,1,0,0,1,1,3
1,82.0,3,4,74.0,1,1,0,4,0,3,0,0,1,1,0
1,77.0,3,5,63.0,1,2,0,2,1,4,3,1,0,1,0
0,83.0,3,4,61.0,1,1,0,4,-1,3,1,1,1,1,3
1,76.0,2,8,58.0,0,0,0,2,1,3,2,0,0,1,3
0,76.0,3,8,63.0,1,1,0,1,3,1,0,0,1,1,3
0,73.0,1,4,59.0,1,0,0,4,-1,1,0,0,1,1,3
1,74.0,2,2,56.0,0,0,1,4,1,1,1,0,1,0,2
1,68.0,1,1,54.0,1,4,0,1,2,3,2,2,0,0,0
1,80.0,2,5,60.0,0,0,1,1,1,3,0,3,1,1,2
0,65.0,2,2,80.0,1,1,0,0,4,4,0,0,0,1,3
1,75.0,3,2,80.0,1,0,0,3,-1,1,0,0,0,1,3
1,71.0,1,2,77.0,1,1,0,2,2,2,1,0,0,1,3
0,85.0,2,4,60.0,1,1,0,4,-1,3,0,2,0,1,0
1,70.0,1,2,76.0,1,0,0,3,-1,1,1,0,1,0,3
0,74.0,2,6,69.7,1,1,0,3,3,4,2,0,1,1,3
1,86.0,2,2,85.0,1,1,0,0,1,2,0,2,1,1,2
1,83.0,2,2,70.0,1,3,0,4,3,4,2,1,1,1,0
1,78.0,2,2,63.0,1,1,0,4,1,3,0,3,0,1,0
1,83.0,2,2,63.0,0,0,0,1,4,2,1,0,0,0,3
1,78.0,1,2,85.0,1,0,0,1,2,3,1,0,0,1,3
1,75.0,3,4,59.0,1,0,0,2,-1,2,0,2,1,0,0
0,87.0,2,2,74.0,0,0,0,2,2,1,0,0,0,0,2
1,77.0,1,2,64.0,1,0,0,0,4,1,0,0,1,1,3
1,85.0,5,0,78.0,1,2,0,4,3,4,0,0,1,1,3
1,60.0,2,1,50.0,1,0,0,2,2,3,0,3,0,1,2
1,80.0,2,8,50.0,1,1,0,4,1,1,0,3,0,0,0
0,80.0,3,5,75.0,1,2,0,4,-1,1,1,1,0,0,2
1,75.0,1,8,63.0,1,1,0,2,-1,2,0,0,0,1,3
1,76.0,1,8,56.0,1,0,0,1,0,0,0,1,0,1,3
0,83.0,1,1,61.0,1,1,0,4,3,2,0,0,0,1,3
1,80.0,1,1,74.0,1,0,0,2,2,3,1,0,1,1,3
0,70.0,2,2,60.0,1,0,0,4,-1,2,0,0,0,1,0
1,86.0,2,2,69.0,1,1,0,1,2,4,2,0,1,1,3
0,85.0,1,6,60.0,1,0,0,1,2,2,3,0,1,1,3
1,79.0,1,2,83.0,1,3,0,4,3,1,0,0,1,1,3
1,70.0,2,2,56.0,1,4,0,2,4,4,2,3,0,1,3
0,75.0,1,1,65.0,1,0,0,1,-1,2,0,2,1,1,3
0,78.0,2,6,79.0,1,2,0,1,1,1,0,0,1,1,3
1,76.0,2,2,64.0,1,0,0,2,1,3,1,1,0,1,3
1,76.0,2,2,57.0,1,0,0,4,1,1,0,0,0,1,3
0,85.0,1,2,58.0,1,4,0,1,3,2,2,0,1,1,0
0,86.0,1,8,71.0,1,0,0,4,1,0,0,0,1,1,3
1,78.0,3,5,66.0,1,0,0,0,1,1,1,0,1,1,0
1,64.0,1,2,70.0,1,4,0,0,4,4,0,1,1,1,3
0,78.0,1,7,51.0,1,0,0,1,2,3,1,0,0,1,0
1,76.0,1,8,58.0,1,1,0,1,2,4,1,1,0,1,0
1,75.0,2,2,80.0,1,4,0,0,4,4,4,0,0,0,3
0,78.0,2,6,74.0,1,0,0,1,-1,1,0,0,0,1,3
1,86.0,1,2,70.0,1,0,0,3,2,2,2,0,1,1,2
0,74.0,2,2,60.0,1,2,0,3,-1,1,0,3,0,0,0
0,73.0,2,2,58.0,1,2,1,3,1,4,0,0,1,1,3
0,80.0,1,7,63.0,1,1,0,2,-1,2,1,0,0,0,0
